"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"464",0,1,0,0,0,0,1,0,0,0
"465",2,1,1,1,0,1,1,0,3,1
"466",1,0,0,1,0,0,0,0,1,2
"467",0,1,0,0,0,0,0,1,1,0
"468",1,1,1,0,1,0,0,1,1,1
"469",0,0,1,0,0,1,0,0,1,0
"470",0,0,0,0,0,0,0,0,0,1
"471",1,0,1,0,0,1,1,0,1,0
"472",0,0,0,0,0,0,0,0,0,0
"473",0,0,0,1,0,0,0,1,0,0
"474",0,0,0,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0,0,0,1
"476",2,0,1,1,0,1,1,1,3,2
"477",0,1,0,0,0,0,0,0,0,1
"478",0,1,0,0,1,0,0,1,0,1
"479",0,0,0,1,1,0,0,2,0,1
"480",0,1,0,0,1,0,0,2,0,2
"481",0,0,0,0,0,0,0,1,0,0
"482",0,0,0,0,0,0,0,0,0,0
"483",1,1,1,1,0,0,0,1,1,1
"484",0,0,0,0,0,0,0,0,0,0
"485",1,0,0,1,0,1,0,0,1,1
"486",0,0,0,1,1,1,0,1,1,2
"487",0,0,0,0,0,0,1,0,0,0
"488",0,0,0,0,0,0,0,1,0,1
"489",0,2,0,0,0,0,0,3,0,2
"490",0,0,0,0,0,0,0,0,0,0
"491",2,0,0,1,0,1,0,0,2,0
"492",0,0,0,0,0,0,0,0,0,0
"493",0,0,0,0,0,0,0,1,1,1
"494",0,0,0,0,0,0,0,0,0,2
"495",0,0,0,0,0,0,0,0,0,2
"496",0,1,0,0,0,0,0,1,0,2
"497",1,2,0,1,1,0,0,1,1,4
"498",0,1,0,0,0,0,0,0,2,1
"499",2,3,0,0,4,0,2,5,2,6
"500",1,2,1,0,0,1,0,0,3,2
"501",0,0,0,0,0,0,0,0,0,0
"502",0,3,0,0,1,0,2,2,1,2
"503",0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0,0,0,0
"505",0,0,0,0,0,0,0,0,0,0
"506",1,0,1,1,0,1,0,0,3,2
"507",1,1,0,0,1,1,1,1,1,1
"508",0,0,0,0,0,0,0,0,0,2
"509",1,1,1,1,1,1,1,1,1,1
"510",1,2,0,2,1,2,0,5,2,2
"511",2,3,0,2,2,1,2,2,3,5
"512",0,0,0,0,0,0,0,0,0,0
"513",0,0,0,0,0,0,0,0,0,0
"514",0,1,2,2,1,1,2,2,5,1
"515",0,1,0,1,1,1,1,2,0,2
"516",0,0,0,0,0,0,0,0,1,0
"517",0,0,0,0,0,0,0,0,0,0
"518",2,3,1,4,2,1,3,4,3,5
"519",1,2,0,1,2,2,0,4,1,4
"520",0,0,0,0,0,0,1,1,0,1
"521",0,1,0,1,1,0,1,2,0,1
"522",1,1,0,0,1,1,1,1,1,2
"523",1,2,0,0,2,1,1,3,1,3
"524",1,1,0,0,2,1,1,2,1,2
"525",2,1,0,1,1,1,1,1,4,1
"526",1,1,0,0,1,1,1,1,1,2
"527",1,1,0,0,1,1,1,1,1,1
"528",1,1,0,0,1,1,1,1,1,1
"529",1,1,0,0,1,1,1,1,1,1
"530",2,1,0,1,1,1,1,1,2,1
"531",2,1,0,1,1,2,1,1,2,1
"532",1,1,0,0,1,1,1,1,1,1
"533",1,2,0,0,1,2,1,1,2,1
"534",1,1,0,0,1,1,1,1,1,1
"535",1,1,0,0,1,1,1,1,1,1
"536",1,1,0,1,1,1,1,1,1,1
"537",1,1,0,0,1,1,1,1,1,1
"538",3,1,0,2,2,2,1,4,3,4
"539",1,1,0,0,1,2,1,2,2,2
"540",1,3,0,0,1,1,3,3,1,2
"541",0,0,0,0,0,0,0,0,0,0
"542",0,0,0,0,0,0,0,0,0,0
"543",0,0,0,1,1,1,0,2,0,2
"544",0,0,0,0,0,0,0,0,0,0
"545",0,0,0,0,0,0,0,0,0,0
"546",0,0,0,0,0,0,0,1,0,1
"547",0,0,0,0,0,0,0,1,0,1
"548",0,2,0,0,0,0,0,1,0,3
"549",0,0,0,0,0,0,0,0,0,0
"550",0,0,0,0,0,0,0,0,0,0
"551",0,0,0,0,0,0,0,0,0,0
"552",2,3,2,3,2,2,1,3,3,5
"553",0,0,0,0,1,0,0,0,0,1
"554",0,0,0,0,0,0,0,0,0,0
"555",0,1,0,1,0,0,0,0,1,2
"556",0,1,0,1,1,0,2,1,1,2
"557",0,0,0,0,0,0,0,0,0,0
"558",0,0,0,0,0,0,0,0,0,0
"559",0,0,0,0,0,0,0,0,0,0
"560",0,0,0,0,0,0,0,0,0,0
"561",0,1,0,0,1,0,0,1,0,1
"562",0,0,0,0,0,0,1,2,0,1
"563",0,1,0,0,0,0,0,1,1,1
"564",0,0,0,0,0,0,0,0,0,0
"565",0,0,0,0,0,0,0,1,0,2
"566",0,0,0,0,0,0,0,0,0,0
"567",1,1,1,3,0,2,1,1,2,1
"568",1,0,0,0,0,0,1,1,1,1
"569",0,0,0,0,0,0,0,0,0,1
"570",0,0,0,0,0,0,0,1,0,0
"571",1,2,0,1,1,0,0,1,1,1
"572",1,1,1,0,0,0,0,0,2,1
"573",0,0,0,0,0,0,1,0,0,1
"574",0,0,0,0,0,0,0,0,0,0
"575",0,0,0,0,0,0,0,0,0,0
"576",0,0,0,0,0,0,0,0,0,0
"577",0,0,0,0,0,1,1,1,1,1
"578",0,0,0,0,0,0,0,0,0,0
"579",0,0,1,0,0,1,0,0,2,0
"580",0,0,0,0,0,1,0,0,1,1
"581",1,2,0,1,2,0,1,2,1,3
