"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"greatest",3,7,2,6,6,2,6,7,3,8
"grew",1,0,0,0,0,0,0,0,1,0
"grim",1,1,1,1,0,1,0,1,1,0
"groceri",1,1,0,1,0,0,0,0,1,1
"gun",14,6,4,14,3,10,3,6,14,8
"gunviolenceawarenessday",1,0,1,1,1,1,1,1,1,1
"gut",1,1,3,3,0,3,2,1,3,3
"hadiya",1,0,1,1,1,1,1,1,1,1
"half",1,0,0,1,0,1,2,0,2,1
"hall",1,2,0,3,1,1,0,4,1,6
"hampshireand",1,1,0,0,1,1,1,1,1,1
"hand",3,2,3,4,3,4,0,4,6,6
"happen",6,14,1,9,5,6,7,6,11,9
"happi",1,10,1,3,10,1,6,10,1,10
"hard",12,7,12,12,8,12,9,21,17,23
"hardearn",1,0,0,1,0,0,1,1,1,2
"harder",1,0,0,1,0,2,0,0,2,0
"hardest",1,1,1,1,1,1,1,1,1,1
"hardwon",1,1,0,1,1,0,0,1,1,1
"hardwork",2,0,1,2,0,0,1,2,3,3
"hasnt",1,1,0,1,0,1,3,2,1,3
"hate",9,5,9,9,4,9,4,5,9,5
"hatr",2,2,2,2,2,2,2,2,2,2
"havent",1,1,1,1,1,0,0,1,1,1
"head",2,5,0,0,3,2,3,4,4,5
"heal",2,2,1,1,4,1,1,4,2,4
"healt",1,1,0,1,0,0,0,0,1,1
"health",11,21,2,14,10,9,18,28,26,35
"hear",5,3,0,5,2,1,2,7,6,7
"heard",3,3,1,1,1,2,1,3,3,2
"heardyour",1,1,0,0,1,1,1,1,1,1
"heart",5,4,5,5,3,7,4,5,7,4
"heartbreak",2,2,2,2,0,2,1,1,3,1
"heartrend",1,1,1,1,0,1,0,1,1,0
"heed",2,1,2,2,2,2,2,5,2,4
"hell",4,1,4,4,0,4,2,2,4,1
"help",9,15,5,7,5,9,11,16,18,30
"here",3,7,2,3,11,3,7,11,4,12
